Date Time,Standard Equipment CAS 140CT,Gaussian CCT,Sinusoidal CCT,Parabolic CCT,Parabolic Fitted CCT,Gaussian Error (%),Sinusoidal Error (%),Parabolic Error (%),Parabolic Fitted Error (%)
07:04 AM,4108.45585174052,3999.999995985041,4001.3296706820774,4000.468104920288,4000.468104920288,2.6398204013688646,2.6074560595085754,2.6284266088555834,2.6284266088555834
07:09 AM,4114.764277247567,4000.000014984034,4000.125439096899,3998.2530086542147,3998.2530086542147,2.789084733191598,2.7860365850009843,2.8315417541072123,2.8315417541072123
07:13 AM,4103.3830411488525,3999.9999305058795,3999.8416227592734,4014.798333125595,4014.798333125595,2.5194603966104046,2.5233183778180726,2.1588213221853105,2.1588213221853105
07:18 AM,4108.354588795291,4000.0002593555905,4000.845278821588,4060.881681115431,4060.881681115431,2.6374142518081447,2.6168459330874994,1.1555211862513792,1.1555211862513792
07:22 AM,4175.777030245365,3999.9992324657146,4003.7249983949882,4102.398972485888,4102.398972485888,4.209463209038281,4.120239912337147,1.7572312225484068,1.7572312225484068
07:26 AM,4252.97089560017,4000.0014110643647,4008.166687825471,4141.827729933628,4141.827729933628,5.94806526415475,5.756075312623375,2.61330651901528,2.61330651901528
07:31 AM,4313.731141131392,3999.9947338361026,4014.255425474383,4190.663078559424,4190.663078559424,7.272970823420483,6.942382495782142,2.852937713213391,2.852937713213391
07:35 AM,4413.380128329003,4000.000000000001,4020.0,4229.0,4229.0,9.366519907849327,8.913352507388593,4.177753172573722,4.177753172573722
07:40 AM,4447.231536388166,4000.0000000000005,4030.0,4277.0,4277.0,10.056403241630777,9.381826265943017,3.8278091661137195,3.8278091661137195
07:44 AM,4550.720115311684,3999.848901011986,4039.5422957643527,4314.684557651289,4314.684557651289,12.105143808914912,11.232899554235058,5.186773778202988,5.186773778202988
07:48 AM,4646.265082621571,4000.7007787066536,4049.512401876134,4351.737564984648,4351.737564984648,13.894263293963194,12.84370715260031,6.339016659607837,6.339016659607837
07:53 AM,4617.544960353833,3997.384658261908,4064.3670300223016,4397.036633347185,4397.036633347185,13.430520058096047,11.979914328525396,4.775445153212994,4.775445153212994
07:57 AM,4670.81202309501,4010.2998156640692,4077.655519861052,4433.034326454302,4433.034326454302,14.14127145697606,12.699215902953759,5.09071432258475,5.09071432258475
08:02 AM,4828.458599029549,4067.6906147004747,4095.395573765416,4477.744156107169,4477.744156107169,15.755918140873732,15.182133391626643,7.263486591618876,7.263486591618876
08:06 AM,4992.374023292783,4129.095996223106,4110.917386363647,4512.672693630753,4512.672693630753,17.291934118756007,17.656061681607746,9.608681709821829,9.608681709821829
08:10 AM,5028.982667666673,4187.0,4127.000000000001,4547.000000000001,4547.000000000001,16.742604286153412,17.935688533306678,9.584098803233697,9.584098803233697
08:15 AM,5049.365019230751,4260.000000000001,4149.0,4589.0,4589.0,15.632956148434815,17.83125236146857,9.117285390884376,9.117285390884376
08:19 AM,5080.924576869826,4318.466180154324,4168.116073176412,4621.811635749666,4621.811635749666,15.006292362348436,17.965401569801728,9.036011737119761,9.036011737119761
08:24 AM,5100.072463800225,4390.700689076745,4192.853124945272,4662.846543681893,4662.846543681893,13.90905285676871,17.788361739843893,8.57293544791206,8.57293544791206
08:28 AM,5109.892553923071,4447.633827573747,4214.031976289942,4695.139645871932,4695.139645871932,12.96032586518637,17.531886789778802,8.116665931316245,8.116665931316245
08:32 AM,5149.474980540384,4504.435611055174,4236.036722744756,4726.709062322095,4726.709062322095,12.526313302283873,17.73847355793488,8.209883916630366,8.209883916630366
08:37 AM,5182.221579770753,4575.142495939855,4264.788297004843,4765.339743251909,4765.339743251909,11.71464929636903,17.703474632331233,8.044461822052892,8.044461822052892
08:41 AM,5205.2248968044,4630.87535234453,4289.140483515466,4795.446348921938,4795.446348921938,11.034096621117657,17.59932436063113,7.87244655142631,7.87244655142631
08:46 AM,5230.730360185823,4699.680449375755,4320.311721642604,4832.41236984488,4832.41236984488,10.152500210146599,17.40519154787546,7.614959344354206,7.614959344354206
08:50 AM,5262.222016220187,4754.0,4346.0,4862.0,4862.0,9.65793565253711,17.41131433443969,7.605570707327604,7.605570707327604
08:54 AM,5282.887276194881,4807.686422776149,4372.343793286535,4890.884542726315,4890.884542726315,8.995097350648122,17.235716669771257,7.4202365671318145,7.4202365671318145
08:59 AM,5296.377320156899,4873.855441009885,4406.033578035694,4926.093772650486,4926.093772650486,7.977563787590903,16.810428870555434,6.991260726406173,6.991260726406173
09:03 AM,5327.807769491093,4926.234088079212,4434.496062211794,4953.44639410058,4953.44639410058,7.537315511108218,16.766965812744157,7.026555603868409,7.026555603868409
09:08 AM,5353.831662659195,4989.878131666049,4470.571293766671,4987.415179266725,4987.415179266725,6.798001019187332,16.497723958205608,6.844004564956274,6.844004564956274
09:12 AM,5394.480419643695,5040.284327806875,4499.633429388359,5014.452891648028,5014.452891648028,6.565898182650462,16.588196093859224,7.0447475647852755,7.0447475647852755
09:16 AM,5413.679805200557,5090.3629615545615,4529.558843682566,5040.264777555592,5040.264777555592,5.9722195489915535,16.33123851670496,6.897619384254125,6.897619384254125
09:21 AM,5440.851240358528,5151.087306876986,4567.588561232943,5071.37229346861,5071.37229346861,5.32570953846641,16.050111288615952,6.790829790552608,6.790829790552608
09:25 AM,5466.188562195219,5199.0,4598.0,5097.000000000001,5097.000000000001,4.888023147300941,15.882887176628143,6.75404000419173,6.75404000419173
09:30 AM,5487.740916979629,5257.0,4637.0,5127.000000000001,5127.000000000001,4.204661270828098,15.50257072718849,6.573577769742357,6.573577769742357
