Date Time,Standard Equipment CAS 140CT,Generated CCT,Error (%)
07:12 AM,4681.87,2700.0000296109038,42.330734736101086
07:13 AM,4588.73,2700.000037341953,41.16018947852776
07:14 AM,4518.28,2700.000030048669,40.24274657505358
07:15 AM,4490.18,2700.0000000000005,39.86878031615658
09:30 AM,5388.59,3086.000000000001,42.73084424682522
09:31 AM,5397.74,3097.139686818797,42.621547410234705
09:32 AM,5410.07,3108.3886817509774,42.54439070564748
09:33 AM,5415.24,3119.76783327376,42.38911233345595
12:00 PM,5459.03,5561.0,1.867914263156646
12:01 PM,5464.97,5576.845203128102,2.047132978371371
12:02 PM,5470.72,5592.540195690558,2.226767147478901
12:03 PM,5471.18,5608.112586688964,2.502798056159073
02:30 PM,5628.06,6341.0,12.667597715731524
02:31 PM,5627.67,6333.687335120769,12.545464377278137
02:32 PM,5626.42,6326.263671660498,12.438525237371158
02:33 PM,5623.91,6318.696340639842,12.35415112688222
03:00 PM,5427.2,6051.000000000001,11.493956367924548
03:01 PM,5467.1,6039.068848749166,10.462015488086292
03:02 PM,5506.61,6027.028983071189,9.450805179070052
03:03 PM,5526.2,6014.854693018628,8.842508288129777
06:08 PM,4171.02,3053.1986214164417,26.79971274612825
06:09 PM,4150.36,3042.5210809713744,26.6925982090379
06:09 PM,4122.84,3042.5210809713744,26.20327053750875
06:10 PM,4102.23,3032.0,26.088980871379707
